Bioguide ID,Name,Chamber,Party,State,District,Term Start,Age,Birthdate,Education,Previous Professions,Total Receipts,Total Disbursements,Main Funding Sources,Policy Focus & Platforms,Projected/Historical Voting Alignment,Committee Assignments,Estimated Net Worth,Term End Date,Status
V000128,Chris Van Hollen,Senate,Democrat,MD,Unknown,2023-01-03,67,1959-01-10,Juris Doctor (J.D.) from Georgetown University Law Center,Attorney and legislative assistant,Unknown,Unknown,Individual/PAC contributions,"Education funding and reform, Environmental protection and climate action, Economic opportunity and progressive tax reform",DW-NOMINATE: -0.40 (Moderate Democrat) • ~91% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Foreign Relations; Senate Committee on the Budget",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
W000800,Peter Welch,Senate,Democrat,VT,Unknown,2023-01-03,79,1947-05-02,"Juris Doctor (J.D.) from the University of California, Berkeley School of Law",Attorney and public defender,Unknown,Unknown,Individual/PAC contributions,"Healthcare reform and lowering prescription drug costs, Climate change mitigation and renewable energy expansion, Consumer protection and economic affordability",DW-NOMINATE: -0.40 (Moderate Democrat) • ~92% Party Loyalty,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Finance; Senate Committee on Rules and Administration; Senate Committee on the Judiciary","$4,602,548",2029-01-03,Active Member
W000779,Ron Wyden,Senate,Democrat,OR,Unknown,2023-01-03,77,1949-05-03,Juris Doctor (J.D.) from the University of Oregon School of Law,"Elderly rights advocate, co-founder of the Oregon Gray Panthers, and director of Oregon Legal Services for the Elderly",7554494.0,7109278.0,Individual/PAC contributions,"Digital privacy and technology policy, Healthcare reform and prescription drug pricing, Tax code reform and economic policy",DW-NOMINATE: -0.34 (Moderate Democrat) • ~90% Party Loyalty,Joint Committee on Taxation; Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Finance; Senate Committee on the Budget; Senate Select Committee on Intelligence,"$38,370,525",2029-01-03,Active Member
Y000064,Todd Young,Senate,Republican,IN,Unknown,2023-01-03,53,1972-08-24,Juris Doctor (J.D.) from Indiana University Robert H. McKinney School of Law,U.S. Marine Corps Officer and Attorney,Unknown,Unknown,Individual/PAC contributions,"National Security and Foreign Policy, Economic Growth and Workforce Development, Technology and Innovation",DW-NOMINATE: +0.44 (Solidly Conservative) • ~93% Party Loyalty,"Senate Committee on Commerce, Science, and Transportation; Senate Committee on Finance; Senate Committee on Small Business and Entrepreneurship; Senate Select Committee on Intelligence",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
S001194,Brian Schatz,Senate,Democrat,HI,Unknown,2023-01-03,53,1972-10-20,"Bachelor of Arts in Philosophy, Pomona College",Nonprofit director and teacher,Unknown,Unknown,Individual/PAC contributions,"Climate change and clean energy, Healthcare access, Native Hawaiian affairs",DW-NOMINATE: -0.44 (Solidly Progressive) • ~93% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Appropriations; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Foreign Relations; Senate Committee on Indian Affairs; Senate Select Committee on Ethics",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
C001095,Tom Cotton,Senate,Republican,AR,Unknown,2021-01-03,49,1977-05-13,Juris Doctor (J.D.) from Harvard Law School,"U.S. Army Officer, Attorney, Management Consultant",Unknown,Unknown,Individual/PAC contributions,"National Security and Foreign Policy, Immigration Enforcement and Border Security, Law Enforcement and Criminal Justice",DW-NOMINATE: +0.58 (Solidly Conservative) • ~97% Party Loyalty,Joint Economic Committee; Senate Committee on Armed Services (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Select Committee on Intelligence,N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
D000622,Tammy Duckworth,Senate,Democrat,IL,Unknown,2023-01-03,58,1968-03-12,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.35 (Moderate Democrat) • ~90% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Foreign Relations; Senate Committee on Veterans' Affairs","$471,022",2029-01-03,Active Member
W000817,Elizabeth Warren,Senate,Democrat,MA,Unknown,2025-01-03,77,1949-06-22,"J.D., Rutgers Law School",Law Professor and Consumer Protection Advocate,Unknown,Unknown,Individual/PAC contributions,"Consumer protection and financial system reform, Economic inequality and wealth tax implementation, Healthcare access and affordability",DW-NOMINATE: -0.74 (Solidly Progressive) • ~99% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Armed Services; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Special Committee on Aging","$9,652,512",2031-01-03,Active Member
K000383,Angus King,Senate,Independent,ME,Unknown,2025-01-03,82,1944-03-31,Juris Doctor (J.D.) from the University of Virginia School of Law,Attorney and energy conservation entrepreneur,Unknown,Unknown,Individual/PAC contributions,"Climate change and renewable energy, National security and intelligence, Rural broadband and infrastructure expansion",DW-NOMINATE: -0.17 (Moderate Democrat) • ~85% Party Loyalty,Senate Committee on Armed Services (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Armed Services; Senate Committee on Energy and Natural Resources; Senate Committee on Veterans' Affairs; Senate Select Committee on Intelligence,"$16,023,078",2031-01-03,Active Member
D000618,Steve Daines,Senate,Republican,MT,Unknown,2021-01-03,63,1962-08-20,"Bachelor of Science in Chemical Engineering, Montana State University",Business executive at Procter & Gamble and RightNow Technologies,1830490.65,2021595.6,Individual/PAC contributions,"Energy and natural resources development, Public lands and conservation, Economic growth and job creation",DW-NOMINATE: +0.59 (Solidly Conservative) • ~97% Party Loyalty,Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Finance; Senate Committee on Foreign Relations; Senate Committee on Indian Affairs,"$13,847,505",2027-01-03,Retiring in 2026
C001096,Kevin Cramer,Senate,Republican,ND,Unknown,2025-01-03,65,1961-01-21,"Master of Arts in Management, University of Mary","State Tourism Director, Economic Development Director, Political Campaign and Party Administrator",Unknown,Unknown,Individual/PAC contributions,"Energy Independence and Deregulation, Agricultural Support and Trade, National Defense and Military Infrastructure",DW-NOMINATE: +0.40 (Solidly Conservative) • ~92% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Armed Services; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Environment and Public Works; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
F000463,Deb Fischer,Senate,Republican,NE,Unknown,2025-01-03,75,1951-03-01,"Bachelor of Science in Education, University of Nebraska-Lincoln",Rancher and co-owner of Sunny Slope Ranch,Unknown,Unknown,Individual/PAC contributions,"Agriculture and Rural Development, National Defense and Military Readiness, Infrastructure and Transportation",DW-NOMINATE: +0.46 (Solidly Conservative) • ~93% Party Loyalty,"Joint Committee of Congress on the Library; Joint Committee on Printing; Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Rules and Administration; Senate Select Committee on Ethics","$323,501",2031-01-03,Active Member
C001098,Ted Cruz,Senate,Republican,TX,Unknown,2025-01-03,55,1970-12-22,Juris Doctor (J.D.) from Harvard Law School,Attorney and Solicitor General of Texas,Unknown,Unknown,Individual/PAC contributions,"Constitutional conservatism and judicial appointments, Economic deregulation and tax reform, Border security and immigration enforcement",DW-NOMINATE: +0.78 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Commerce, Science, and Transportation; Senate Committee on Foreign Relations; Senate Committee on Rules and Administration; Senate Committee on the Judiciary","$1,661,021",2031-01-03,Active Member
K000384,Timothy Kaine,Senate,Democrat,VA,Unknown,2025-01-03,68,1958-02-26,Juris Doctor (J.D.) from Harvard Law School,Civil rights attorney and law professor,Unknown,Unknown,Individual/PAC contributions,"Healthcare access and affordability, Education and job training, National security and foreign policy",DW-NOMINATE: -0.23 (Moderate Democrat) • ~86% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Armed Services; Senate Committee on Foreign Relations; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on the Budget",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
B001288,Cory Booker,Senate,Democrat,NJ,Unknown,2021-01-03,57,1969-04-27,Juris Doctor (JD) from Yale Law School,Staff Attorney at the Urban Justice Center and Community Organizer,Unknown,Unknown,Individual/PAC contributions,"Criminal justice reform, Economic inequality and social justice, Healthcare access and reform",DW-NOMINATE: -0.55 (Solidly Progressive) • ~96% Party Loyalty,"Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
G000574,Ruben Gallego,Senate,Democrat,AZ,Unknown,2025-01-03,46,1979-11-20,"Bachelor of Arts in International Relations, Harvard University",U.S. Marine Corps infantryman and public affairs consultant,Unknown,Unknown,Individual/PAC contributions,"Veterans' affairs and healthcare, Immigration reform and border security, Economic opportunity and working-class advocacy",DW-NOMINATE: -0.36 (Moderate Democrat) • ~90% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Energy and Natural Resources; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
S001198,Dan Sullivan,Senate,Republican,AK,Unknown,2021-01-03,61,1964-11-13,Joint Juris Doctor (J.D.) and Master of Science in Foreign Service (MSFS) from Georgetown University,"U.S. Marine Corps Officer, Attorney in private practice",11735898.2,5172572.02,Individual/PAC contributions,"National defense and military readiness, Energy independence and natural resource development, Infrastructure and economic growth",DW-NOMINATE: +0.46 (Solidly Conservative) • ~93% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
E000295,Joni Ernst,Senate,Republican,IA,Unknown,2021-01-03,56,1970-07-01,Master of Public Administration (MPA) from Columbus State University,"Iowa Army National Guard Officer, Montgomery County Auditor",Unknown,Unknown,Individual/PAC contributions,"National Defense and Military Affairs, Agriculture and Rural Development, Government Accountability and Reducing Wasteful Spending",DW-NOMINATE: +0.54 (Solidly Conservative) • ~96% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Small Business and Entrepreneurship",N/A (No net worth disclosure provided in sources),2027-01-03,Retiring in 2026
T000476,Thom Tillis,Senate,Republican,NC,Unknown,2021-01-03,65,1960-08-30,"Bachelor of Science in Technology Management, University of Maryland University College",Management Consultant and Partner at PricewaterhouseCoopers,Unknown,Unknown,Individual/PAC contributions,"Veterans' Affairs and Military Support, Economic Growth and Tax Reform, Intellectual Property and Patent Reform",DW-NOMINATE: +0.39 (Moderate Republican) • ~91% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on Veterans' Affairs; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2027-01-03,Retiring in 2026
R000605,Mike Rounds,Senate,Republican,SD,Unknown,2021-01-03,71,1954-10-24,"Bachelor of Science in Political Science, South Dakota State University",Insurance and real estate business owner,Unknown,Unknown,Individual/PAC contributions,"National Defense and Military Affairs, Agriculture and Rural Development, Cybersecurity and Artificial Intelligence",DW-NOMINATE: +0.35 (Moderate Republican) • ~90% Party Loyalty,"Commission on Security and Cooperation in Europe; Senate Committee on Appropriations (Subcommittee); Senate Committee on Armed Services (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Armed Services; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Indian Affairs; Senate Select Committee on Intelligence",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
K000393,John Kennedy,Senate,Republican,LA,Unknown,2023-01-03,74,1951-11-21,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.56 (Solidly Conservative) • ~96% Party Loyalty,"Senate Committee on Appropriations (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on the Budget; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
H001076,Margaret Hassan,Senate,Democrat,NH,Unknown,2023-01-03,68,1958-02-27,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: -0.23 (Moderate Democrat) • ~86% Party Loyalty,"Joint Economic Committee; Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Finance; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
C001113,Catherine Cortez Masto,Senate,Democrat,NV,Unknown,2023-01-03,62,1964-03-29,Juris Doctor (J.D.) from Gonzaga University School of Law,Attorney and prosecutor,Unknown,Unknown,Individual/PAC contributions,"Women's reproductive rights, Clean energy and environmental conservation, Affordable housing and economic security",DW-NOMINATE: -0.35 (Moderate Democrat) • ~90% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Energy and Natural Resources; Senate Committee on Finance; Senate Committee on Indian Affairs",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
B001303,Lisa Blunt Rochester,Senate,Democrat,DE,Unknown,2025-01-03,64,1962-02-10,"Master of Arts in Urban Affairs and Public Policy, University of Delaware",Delaware Secretary of Labor and CEO of the Metropolitan Wilmington Urban League,Unknown,Unknown,Individual/PAC contributions,"Healthcare access and prescription drug cost reduction, Workforce development and job creation, Criminal justice reform and the Clean Slate Act",DW-NOMINATE: -0.39 (Moderate Democrat) • ~91% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works; Senate Committee on Health, Education, Labor, and Pensions",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
B001299,Jim Banks,Senate,Republican,IN,Unknown,2025-01-03,47,1979-07-16,Master of Business Administration (MBA) from Grace College and Seminary,"Commercial real estate and construction business development, U.S. Navy Reserve officer",Unknown,Unknown,Individual/PAC contributions,"National defense and countering China, Fiscal conservatism and reducing government spending, Border security and immigration enforcement",DW-NOMINATE: +0.65 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Armed Services; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
M001198,Roger Marshall,Senate,Republican,KS,Unknown,2021-01-03,65,1960-08-09,"Doctor of Medicine (M.D.), University of Kansas School of Medicine",Obstetrician-Gynecologist (OB/GYN),1343114.41,753188.46,Individual/PAC contributions,"Agriculture and Rural Economy, Healthcare Reform, Border Security and Immigration",DW-NOMINATE: +0.61 (Solidly Conservative) • ~98% Party Loyalty,"Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Finance; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on the Budget",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
B001305,Ted Budd,Senate,Republican,NC,Unknown,2023-01-03,54,1971-10-21,Unknown,Public service,Unknown,Unknown,Individual/PAC contributions,General legislative priorities,DW-NOMINATE: +0.63 (Solidly Conservative) • ~99% Party Loyalty,"Joint Economic Committee; Senate Committee on Armed Services (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Small Business and Entrepreneurship; Senate Select Committee on Intelligence",N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
R000608,Jacky Rosen,Senate,Democrat,NV,Unknown,2025-01-03,69,1957-08-02,"Bachelor of Arts in Psychology, University of Minnesota",Computer programmer and systems analyst,Unknown,Unknown,Individual/PAC contributions,"Healthcare access and lowering prescription drug costs, STEM education and technology workforce development, Renewable energy and environmental protection",DW-NOMINATE: -0.28 (Moderate Democrat) • ~88% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Armed Services; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
C001114,John Curtis,Senate,Republican,UT,Unknown,2025-01-03,66,1960-05-10,"Bachelor of Science in Business Management, Brigham Young University","Chief Operating Officer of Action Target, Sales and marketing executive",Unknown,Unknown,Individual/PAC contributions,"Conservative climate and energy solutions, Public lands and natural resource management, Economic growth and fiscal responsibility",DW-NOMINATE: +0.45 (Solidly Conservative) • ~93% Party Loyalty,"Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works; Senate Committee on Foreign Relations; Senate Committee on Small Business and Entrepreneurship",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
S001203,Tina Smith,Senate,Democrat,MN,Unknown,2021-01-03,68,1958-03-04,Master of Business Administration (MBA) from the Tuck School of Business at Dartmouth College,"Marketing executive at General Mills and Vice President of External Affairs for Planned Parenthood Minnesota, North Dakota, South Dakota",9221473.92,8787690.79,Individual/PAC contributions,"Healthcare access and reproductive rights, Agriculture and rural development, Clean energy and climate change",DW-NOMINATE: -0.41 (Solidly Progressive) • ~92% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Finance; Senate Committee on Indian Affairs",N/A (No net worth disclosure provided in sources),2027-01-03,Retiring in 2026
H001079,Cindy Hyde-Smith,Senate,Republican,MS,Unknown,2021-01-03,67,1959-05-10,"Bachelor of Arts, University of Southern Mississippi",Cattle farmer and livestock marketing business co-owner,5458311.27,3083958.06,Individual/PAC contributions,"Agriculture and rural development, Pro-life advocacy, Border security and immigration enforcement",DW-NOMINATE: +0.45 (Solidly Conservative) • ~93% Party Loyalty,"Joint Committee of Congress on the Library; Senate Committee on Appropriations (Subcommittee); Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Appropriations; Senate Committee on Energy and Natural Resources; Senate Committee on Rules and Administration",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
S001208,Elissa Slotkin,Senate,Democrat,MI,Unknown,2025-01-03,50,1976-07-10,"Master of International Affairs, Columbia University",CIA Analyst and Department of Defense Official,7467572.93,7448338.28,Individual/PAC contributions,"National security and defense, Lowering healthcare and prescription drug costs, Strengthening domestic manufacturing and supply chains",DW-NOMINATE: -0.37 (Moderate Democrat) • ~91% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Armed Services; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Veterans' Affairs",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
K000394,Andy Kim,Senate,Democrat,NJ,Unknown,2025-01-03,44,1982-07-12,DPhil in International Relations from the University of Oxford,National security advisor and diplomat for the U.S. State Department and National Security Council,Unknown,Unknown,Individual/PAC contributions,"Healthcare access and lowering prescription drug costs, Government integrity, ethics reform, and campaign finance reform, National security, foreign policy, and veterans' affairs",DW-NOMINATE: -0.42 (Solidly Progressive) • ~92% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Homeland Security and Governmental Affairs; Senate Special Committee on Aging",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
S001217,Rick Scott,Senate,Republican,FL,Unknown,2025-01-03,73,1952-12-01,Juris Doctor (J.D.) from Southern Methodist University Dedman School of Law,"Healthcare executive (co-founder of Columbia Hospital Corporation), venture capitalist, and attorney",Unknown,Unknown,Individual/PAC contributions,"Fiscal responsibility and national debt reduction, Border security and immigration enforcement, Economic growth and job creation",DW-NOMINATE: +0.73 (Solidly Conservative) • ~99% Party Loyalty,Senate Committee on Armed Services (Subcommittee); Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Armed Services; Senate Committee on Foreign Relations; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on the Budget; Senate Special Committee on Aging,N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
H001089,Joshua Hawley,Senate,Republican,MO,Unknown,2025-01-03,46,1979-12-31,Juris Doctor (J.D.) from Yale Law School,Constitutional law attorney and associate professor of law,Unknown,Unknown,Individual/PAC contributions,"Big Tech regulation and antitrust reform, Economic populism and domestic manufacturing support, Social conservatism and judicial appointments",DW-NOMINATE: +0.82 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Homeland Security and Governmental Affairs (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Homeland Security and Governmental Affairs; Senate Committee on Small Business and Entrepreneurship; Senate Committee on the Judiciary",N/A (No net worth disclosure provided in sources),2031-01-03,Active Member
K000377,Mark Kelly,Senate,Democrat,AZ,Unknown,2023-01-03,62,1964-02-21,"Master of Science in Aeronautical Engineering, U.S. Naval Postgraduate School",NASA Astronaut and U.S. Navy Captain/Aviator,Unknown,Unknown,Individual/PAC contributions,"Gun violence prevention, Climate change and clean energy, Economic development and job creation",DW-NOMINATE: -0.27 (Moderate Democrat) • ~88% Party Loyalty,Joint Economic Committee; Senate Committee on Armed Services (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Armed Services; Senate Committee on Environment and Public Works; Senate Select Committee on Intelligence; Senate Special Committee on Aging,N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
L000571,Cynthia Lummis,Senate,Republican,WY,Unknown,2021-01-03,71,1954-09-10,Juris Doctor (J.D.) from the University of Wyoming College of Law,Rancher and Attorney,Unknown,Unknown,Individual/PAC contributions,"Cryptocurrency and digital asset regulation, Fiscal responsibility and national debt reduction, Energy independence and natural resource development",DW-NOMINATE: +0.68 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Commerce, Science, and Transportation; Senate Committee on Environment and Public Works","$18,918,517",2027-01-03,Retiring in 2026
T000278,Tommy Tuberville,Senate,Republican,AL,Unknown,2021-01-03,71,1954-09-18,Bachelor of Science in Physical Education from Southern Arkansas University,"College Football Coach, Sports Broadcaster",Unknown,Unknown,Individual/PAC contributions,"National Defense and Military Affairs, Agriculture and Rural Development, Conservative Social and Economic Policy",DW-NOMINATE: +0.94 (Solidly Conservative) • ~99% Party Loyalty,"Senate Committee on Armed Services (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Agriculture, Nutrition, and Forestry; Senate Committee on Armed Services; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Veterans' Affairs; Senate Special Committee on Aging",N/A (No net worth disclosure provided in sources),2027-01-03,Retiring in 2026 (Running for Gov)
H000273,John Hickenlooper,Senate,Democrat,CO,Unknown,2021-01-03,74,1952-02-07,Master of Science (M.S.) in Geology from Wesleyan University,Geologist and Brewpub Entrepreneur (Co-founder of Wynkoop Brewing Company),Unknown,Unknown,Individual/PAC contributions,"Climate change and clean energy transition, Economic growth and small business support, Healthcare access and lowering prescription drug costs",DW-NOMINATE: -0.30 (Moderate Democrat) • ~89% Party Loyalty,"Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Health, Education, Labor, and Pensions (Subcommittee); Senate Committee on Commerce, Science, and Transportation; Senate Committee on Energy and Natural Resources; Senate Committee on Health, Education, Labor, and Pensions; Senate Committee on Small Business and Entrepreneurship",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
H000601,Bill Hagerty,Senate,Republican,TN,Unknown,2021-01-03,66,1959-08-14,Juris Doctor (J.D.) from Vanderbilt University Law School,Private equity executive and management consultant,Unknown,Unknown,Individual/PAC contributions,"National security and foreign relations, Economic growth and trade, Border security and immigration",DW-NOMINATE: +0.67 (Solidly Conservative) • ~99% Party Loyalty,"Joint Committee on Printing; Senate Committee on Appropriations (Subcommittee); Senate Committee on Banking, Housing, and Urban Affairs (Subcommittee); Senate Committee on Appropriations; Senate Committee on Banking, Housing, and Urban Affairs; Senate Committee on Foreign Relations; Senate Committee on Rules and Administration",N/A (No net worth disclosure provided in sources),2027-01-03,Active Member
P000145,Alejandro Padilla,Senate,Democrat,CA,Unknown,2023-01-03,53,1973-03-22,"Bachelor of Science in Mechanical Engineering, Massachusetts Institute of Technology",Systems Engineer,Unknown,Unknown,Individual/PAC contributions,"Voting Rights and Election Security, Immigration Reform, Climate Change and Environmental Protection",DW-NOMINATE: -0.45 (Solidly Progressive) • ~93% Party Loyalty,Joint Committee of Congress on the Library; Joint Committee on Printing; Senate Committee on Energy and Natural Resources (Subcommittee); Senate Committee on Environment and Public Works (Subcommittee); Senate Committee on Energy and Natural Resources; Senate Committee on Environment and Public Works; Senate Committee on Rules and Administration; Senate Committee on the Budget; Senate Committee on the Judiciary,N/A (No net worth disclosure provided in sources),2029-01-03,Active Member
